# Assembly name:  ASM17555v1
# Organism name:  Saccharolobus solfataricus 98/2 (crenarchaeotes)
# Infraspecific name:  strain=98/2
# Taxid:          555311
# BioSample:      SAMN00001854
# BioProject:     PRJNA33849
# Submitter:      Washington State University
# Date:           2009-07-20
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    ACUK01
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_000175555.1
# RefSeq assembly accession: GCF_000175555.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000175565.1	GCF_000175565.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ACUK01000506.1	unplaced-scaffold	na	na	ACUK01000506.1	=	NZ_ACUK01000506.1	Primary Assembly	113	na
ACUK01000505.1	unplaced-scaffold	na	na	ACUK01000505.1	=	NZ_ACUK01000505.1	Primary Assembly	113	na
ACUK01000504.1	unplaced-scaffold	na	na	ACUK01000504.1	=	NZ_ACUK01000504.1	Primary Assembly	163	na
ACUK01000503.1	unplaced-scaffold	na	na	ACUK01000503.1	=	NZ_ACUK01000503.1	Primary Assembly	139	na
ACUK01000502.1	unplaced-scaffold	na	na	ACUK01000502.1	=	NZ_ACUK01000502.1	Primary Assembly	1238	na
ACUK01000501.1	unplaced-scaffold	na	na	ACUK01000501.1	=	NZ_ACUK01000501.1	Primary Assembly	173	na
ACUK01000500.1	unplaced-scaffold	na	na	ACUK01000500.1	=	NZ_ACUK01000500.1	Primary Assembly	131	na
ACUK01000499.1	unplaced-scaffold	na	na	ACUK01000499.1	=	NZ_ACUK01000499.1	Primary Assembly	243	na
ACUK01000498.1	unplaced-scaffold	na	na	ACUK01000498.1	=	NZ_ACUK01000498.1	Primary Assembly	11227	na
ACUK01000497.1	unplaced-scaffold	na	na	ACUK01000497.1	=	NZ_ACUK01000497.1	Primary Assembly	157	na
ACUK01000496.1	unplaced-scaffold	na	na	ACUK01000496.1	=	NZ_ACUK01000496.1	Primary Assembly	94	na
ACUK01000495.1	unplaced-scaffold	na	na	ACUK01000495.1	=	NZ_ACUK01000495.1	Primary Assembly	149	na
ACUK01000494.1	unplaced-scaffold	na	na	ACUK01000494.1	=	NZ_ACUK01000494.1	Primary Assembly	268	na
ACUK01000493.1	unplaced-scaffold	na	na	ACUK01000493.1	=	NZ_ACUK01000493.1	Primary Assembly	1216	na
ACUK01000492.1	unplaced-scaffold	na	na	ACUK01000492.1	=	NZ_ACUK01000492.1	Primary Assembly	218	na
ACUK01000491.1	unplaced-scaffold	na	na	ACUK01000491.1	=	NZ_ACUK01000491.1	Primary Assembly	1700	na
ACUK01000490.1	unplaced-scaffold	na	na	ACUK01000490.1	=	NZ_ACUK01000490.1	Primary Assembly	217	na
ACUK01000489.1	unplaced-scaffold	na	na	ACUK01000489.1	=	NZ_ACUK01000489.1	Primary Assembly	930	na
ACUK01000488.1	unplaced-scaffold	na	na	ACUK01000488.1	=	NZ_ACUK01000488.1	Primary Assembly	748	na
ACUK01000487.1	unplaced-scaffold	na	na	ACUK01000487.1	=	NZ_ACUK01000487.1	Primary Assembly	383	na
ACUK01000486.1	unplaced-scaffold	na	na	ACUK01000486.1	=	NZ_ACUK01000486.1	Primary Assembly	227	na
ACUK01000485.1	unplaced-scaffold	na	na	ACUK01000485.1	=	NZ_ACUK01000485.1	Primary Assembly	221	na
ACUK01000484.1	unplaced-scaffold	na	na	ACUK01000484.1	=	NZ_ACUK01000484.1	Primary Assembly	18371	na
ACUK01000483.1	unplaced-scaffold	na	na	ACUK01000483.1	=	NZ_ACUK01000483.1	Primary Assembly	157	na
ACUK01000482.1	unplaced-scaffold	na	na	ACUK01000482.1	=	NZ_ACUK01000482.1	Primary Assembly	283	na
ACUK01000481.1	unplaced-scaffold	na	na	ACUK01000481.1	=	NZ_ACUK01000481.1	Primary Assembly	195	na
ACUK01000480.1	unplaced-scaffold	na	na	ACUK01000480.1	=	NZ_ACUK01000480.1	Primary Assembly	146	na
ACUK01000479.1	unplaced-scaffold	na	na	ACUK01000479.1	=	NZ_ACUK01000479.1	Primary Assembly	356	na
ACUK01000478.1	unplaced-scaffold	na	na	ACUK01000478.1	=	NZ_ACUK01000478.1	Primary Assembly	530	na
ACUK01000477.1	unplaced-scaffold	na	na	ACUK01000477.1	=	NZ_ACUK01000477.1	Primary Assembly	401	na
ACUK01000476.1	unplaced-scaffold	na	na	ACUK01000476.1	=	NZ_ACUK01000476.1	Primary Assembly	132	na
ACUK01000475.1	unplaced-scaffold	na	na	ACUK01000475.1	=	NZ_ACUK01000475.1	Primary Assembly	1347	na
ACUK01000474.1	unplaced-scaffold	na	na	ACUK01000474.1	=	NZ_ACUK01000474.1	Primary Assembly	164	na
ACUK01000473.1	unplaced-scaffold	na	na	ACUK01000473.1	=	NZ_ACUK01000473.1	Primary Assembly	175	na
ACUK01000472.1	unplaced-scaffold	na	na	ACUK01000472.1	=	NZ_ACUK01000472.1	Primary Assembly	111	na
ACUK01000471.1	unplaced-scaffold	na	na	ACUK01000471.1	=	NZ_ACUK01000471.1	Primary Assembly	147	na
ACUK01000470.1	unplaced-scaffold	na	na	ACUK01000470.1	=	NZ_ACUK01000470.1	Primary Assembly	374	na
ACUK01000469.1	unplaced-scaffold	na	na	ACUK01000469.1	=	NZ_ACUK01000469.1	Primary Assembly	575	na
ACUK01000468.1	unplaced-scaffold	na	na	ACUK01000468.1	=	NZ_ACUK01000468.1	Primary Assembly	116	na
ACUK01000467.1	unplaced-scaffold	na	na	ACUK01000467.1	=	NZ_ACUK01000467.1	Primary Assembly	279	na
ACUK01000466.1	unplaced-scaffold	na	na	ACUK01000466.1	=	NZ_ACUK01000466.1	Primary Assembly	236	na
ACUK01000465.1	unplaced-scaffold	na	na	ACUK01000465.1	=	NZ_ACUK01000465.1	Primary Assembly	106	na
ACUK01000464.1	unplaced-scaffold	na	na	ACUK01000464.1	=	NZ_ACUK01000464.1	Primary Assembly	544	na
ACUK01000463.1	unplaced-scaffold	na	na	ACUK01000463.1	=	NZ_ACUK01000463.1	Primary Assembly	965	na
ACUK01000462.1	unplaced-scaffold	na	na	ACUK01000462.1	=	NZ_ACUK01000462.1	Primary Assembly	214	na
ACUK01000461.1	unplaced-scaffold	na	na	ACUK01000461.1	=	NZ_ACUK01000461.1	Primary Assembly	18011	na
ACUK01000460.1	unplaced-scaffold	na	na	ACUK01000460.1	=	NZ_ACUK01000460.1	Primary Assembly	427	na
ACUK01000459.1	unplaced-scaffold	na	na	ACUK01000459.1	=	NZ_ACUK01000459.1	Primary Assembly	416	na
ACUK01000458.1	unplaced-scaffold	na	na	ACUK01000458.1	=	NZ_ACUK01000458.1	Primary Assembly	126	na
ACUK01000457.1	unplaced-scaffold	na	na	ACUK01000457.1	=	NZ_ACUK01000457.1	Primary Assembly	2439	na
ACUK01000456.1	unplaced-scaffold	na	na	ACUK01000456.1	=	NZ_ACUK01000456.1	Primary Assembly	151	na
ACUK01000455.1	unplaced-scaffold	na	na	ACUK01000455.1	=	NZ_ACUK01000455.1	Primary Assembly	587	na
ACUK01000454.1	unplaced-scaffold	na	na	ACUK01000454.1	=	NZ_ACUK01000454.1	Primary Assembly	471	na
ACUK01000453.1	unplaced-scaffold	na	na	ACUK01000453.1	=	NZ_ACUK01000453.1	Primary Assembly	3167	na
ACUK01000452.1	unplaced-scaffold	na	na	ACUK01000452.1	=	NZ_ACUK01000452.1	Primary Assembly	493	na
ACUK01000451.1	unplaced-scaffold	na	na	ACUK01000451.1	=	NZ_ACUK01000451.1	Primary Assembly	247	na
ACUK01000450.1	unplaced-scaffold	na	na	ACUK01000450.1	=	NZ_ACUK01000450.1	Primary Assembly	1002	na
ACUK01000449.1	unplaced-scaffold	na	na	ACUK01000449.1	=	NZ_ACUK01000449.1	Primary Assembly	629	na
ACUK01000448.1	unplaced-scaffold	na	na	ACUK01000448.1	=	NZ_ACUK01000448.1	Primary Assembly	303	na
ACUK01000447.1	unplaced-scaffold	na	na	ACUK01000447.1	=	NZ_ACUK01000447.1	Primary Assembly	3035	na
ACUK01000446.1	unplaced-scaffold	na	na	ACUK01000446.1	=	NZ_ACUK01000446.1	Primary Assembly	164	na
ACUK01000445.1	unplaced-scaffold	na	na	ACUK01000445.1	=	NZ_ACUK01000445.1	Primary Assembly	3120	na
ACUK01000444.1	unplaced-scaffold	na	na	ACUK01000444.1	=	NZ_ACUK01000444.1	Primary Assembly	212	na
ACUK01000443.1	unplaced-scaffold	na	na	ACUK01000443.1	=	NZ_ACUK01000443.1	Primary Assembly	4817	na
ACUK01000442.1	unplaced-scaffold	na	na	ACUK01000442.1	=	NZ_ACUK01000442.1	Primary Assembly	103	na
ACUK01000441.1	unplaced-scaffold	na	na	ACUK01000441.1	=	NZ_ACUK01000441.1	Primary Assembly	184	na
ACUK01000440.1	unplaced-scaffold	na	na	ACUK01000440.1	=	NZ_ACUK01000440.1	Primary Assembly	114	na
ACUK01000439.1	unplaced-scaffold	na	na	ACUK01000439.1	=	NZ_ACUK01000439.1	Primary Assembly	577	na
ACUK01000438.1	unplaced-scaffold	na	na	ACUK01000438.1	=	NZ_ACUK01000438.1	Primary Assembly	1022	na
ACUK01000437.1	unplaced-scaffold	na	na	ACUK01000437.1	=	NZ_ACUK01000437.1	Primary Assembly	117	na
ACUK01000436.1	unplaced-scaffold	na	na	ACUK01000436.1	=	NZ_ACUK01000436.1	Primary Assembly	673	na
ACUK01000435.1	unplaced-scaffold	na	na	ACUK01000435.1	=	NZ_ACUK01000435.1	Primary Assembly	109	na
ACUK01000434.1	unplaced-scaffold	na	na	ACUK01000434.1	=	NZ_ACUK01000434.1	Primary Assembly	673	na
ACUK01000433.1	unplaced-scaffold	na	na	ACUK01000433.1	=	NZ_ACUK01000433.1	Primary Assembly	1786	na
