memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
imagined,1,0,"Four months ago, I had a big family reunion.",0.875,0.75,1.0
imagined,1,1,We haven't had one in over 20 years.,0.25,0.125,0.25
imagined,1,2,This was a very exciting event.,0.5,0.25,0.5
imagined,1,4,I saw my Grandpa who said I was getting strong.,0.125,0.75,0.75
imagined,1,5,My Aunt looked lovely and thanked me for the compliment.,0.125,0.375,0.5
imagined,1,7,We had a nice feast.,0.125,0.5,0.625
imagined,1,9,There were some nice mashed potatoes to eat.,0.25,0.25,0.375
imagined,1,10,They had gravy on the side.,0.125,0.125,0.25
imagined,1,11,There was a big cake to share with everybody.,0.125,0.375,0.375
imagined,1,12,It was a chocolate cake.,0.125,0.125,0.25
imagined,1,13,There was also horseshoes to play.,0.125,0.5,0.625
imagined,1,15,We vowed to keep in touch.,0.25,0.375,0.5
imagined,3,1,"I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.",0.75,0.25,0.875
imagined,3,2,"As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest.",0.375,0.375,0.625
imagined,3,5,i wish them live long and happy.,0.125,0.25,0.375
imagined,3,6,they both are made for each other.,0.25,0.125,0.375
imagined,3,7,i had a great time in my lifetime.,0.375,0.75,0.75
imagined,3,8,she is my bestie.,0.125,0.375,0.5
imagined,3,9,we had lot of memories.,0.125,0.25,0.25
imagined,3,12,we are family friends.,0.125,0.25,0.375
imagined,3,13,we always going outing together.,0.125,0.125,0.25
imagined,3,17,it was very pleasure to share this.,0.125,0.25,0.375
imagined,2,0,I really loved being able to get together and learn more about art.,0.375,0.25,0.375
imagined,2,1,I always love to observe art on the streets or in museums but 3 weeks ago I got to have a very cool art experience.,0.5,0.25,0.625
imagined,2,2,Many neighbors came together to paint a mural in the middle of the intersection.,0.75,0.125,0.75
imagined,2,3,It was my first time to pain on a street and the first time to paint a ten foot manatee.,0.375,0.25,0.5
imagined,2,4,We chose the manatee because it is the elementary school's mascot.,0.375,0.25,0.375
imagined,2,5,It was also a great way to get the kids involved.,0.125,0.125,0.25
imagined,2,6,I learned about how to paint on the street and make sure it isn't easily washed out.,0.375,0.5,0.625
imagined,2,7,This was a really great experience for me because I paint often.,0.125,0.125,0.25
imagined,2,8,I am no master artist or anything but I think this experience has given me a huge burst of inspiration.,0.25,0.125,0.25
imagined,2,9,I do not think I will start creating graffiti or anything but I might start using different tools.,0.25,0.125,0.25
imagined,2,10,My choice paint is watercolor because of how delicate it is and soft and beautiful the strokes come out.,0.25,0.125,0.375
imagined,2,11,"It takes patience because what appears when you paint, and what comes out when it dries are two different images.",0.125,0.25,0.375
imagined,2,12,What I love about painting the street is that it is easy to just make corrections immediately without having to wait much.,0.25,0.125,0.375
imagined,2,13,This was a great experience that opened my eyes to new things.,0.125,0.25,0.375
imagined,1,0,I'm still so angry at mom for not admitting she's wrong!,0.75,0.25,0.75
imagined,1,1,I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.,0.75,0.125,0.875
imagined,1,9,She never admits anything.,0.125,0.375,0.375
imagined,1,15,I want our relationship to go back to when we were happy and talking.,0.25,0.375,0.5
imagined,1,16,I can't even look at her these past 2 weeks.,0.25,0.25,0.5
imagined,1,0,Three months ago I lost a job that paid minimum wage.,0.875,0.125,0.875
imagined,1,3,"Within a matter of a few months, I was consigned to wander through the streets that used to be mine.",0.25,0.25,0.375
imagined,1,4,"I now sleep in the same park where once I stood looking lovingly at the green earth, the trees, the birds sweetly fluttering.",0.25,0.5,0.625
imagined,1,8,They're spending a pleasant holiday hours just seizing a chance to drift and dream.,0.125,0.125,0.125
imagined,1,14,"Several losses followed-- my apartment, belongings, my pets, even my friends.",0.25,0.375,0.5
imagined,2,0,I have been unlucky with love for much of my life.,0.375,0.125,0.5
imagined,2,1,It's crazy because the same can be said for my friend Megan.,0.375,0.125,0.5
imagined,2,2,Megan and I went to college together and lived in the same apartment complex for three years.,0.625,0.375,0.75
imagined,2,3,We have always been close but never really spoke of being interested in each other romantically.,0.125,0.125,0.25
