Target,Stance,Sentiment
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,FAVOR,neg
Atheism,NONE,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,FAVOR,other
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,neg
Atheism,NONE,pos
Atheism,AGAINST,pos
Atheism,NONE,other
Atheism,NONE,neg
Atheism,NONE,neg
Atheism,NONE,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,NONE,neg
Atheism,NONE,pos
Atheism,NONE,neg
Atheism,AGAINST,neg
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,neg
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,AGAINST,neg
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,NONE,other
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,NONE,neg
Atheism,FAVOR,neg
Atheism,AGAINST,neg
Atheism,AGAINST,neg
Atheism,NONE,neg
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,FAVOR,pos
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,pos
Atheism,AGAINST,other
Atheism,NONE,neg
Atheism,FAVOR,neg
Atheism,NONE,neg
Atheism,AGAINST,pos
Atheism,NONE,pos
Atheism,AGAINST,pos
Atheism,FAVOR,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,NONE,pos
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,FAVOR,neg
Atheism,NONE,neg
Atheism,AGAINST,pos
Atheism,NONE,neg
Atheism,NONE,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,other
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,pos
Atheism,AGAINST,neg
