original_sentence,dialect
i have to make not so much adjustment,None of the Above
i don’t have to make so much adjustment,None of the Above
"It’s come from me, hasn’t it?",None of the Above
But I did have some difficulty getting to know people among Indians themselves,None of the Above
because there is no individuality in India,None of the Above
I was there just yesterday,None of the Above
and there are a lot of buildings in the background,None of the Above
So if you’re not good at communication you may get filtered at even the first level,None of the Above
Now they are wearing American type of dresses.,None of the Above
ten years ago you didn’t operate a machine that could lift a house all by itself,None of the Above
the school principal called me to ask when you are going back,None of the Above
you can use Hindi Gujarati and Marathi in Bombay,None of the Above
they use proper grammar there,None of the Above
and the production function gives you the relationship between input and output,None of the Above
you have to wait a minimum of one month,None of the Above
he talks to them,None of the Above
I went there for one year.,None of the Above
I’m going to find my bag which I left in the room.,None of the Above
there is corruption obviously,None of the Above
Here life is busy.,None of the Above
I can see some green colour leaves on the left side,None of the Above
there are five balls,None of the Above
In those days it was considered a good job.,None of the Above
"he liked it, right, even though you said he wouldn’t",None of the Above
"My parents and siblings, they really enjoy playing board games.",None of the Above
the union person contacted his representative at the school,None of the Above
Whereas we had lot of time and we didn’t have any TV and we used to play outdoor games.,None of the Above
it was the first day of term,None of the Above
she gets nightmares,None of the Above
"if anybody gives a donation, we give a receipt",None of the Above
You get on the train and buy the ticket there too,None of the Above
They are all aggressive states.,None of the Above
"first of all, we can see a plate on the right side",None of the Above
So I did my schooling from there.,None of the Above
I think you should start going to the gym from now.,None of the Above
But now all kids have a computer and all new technology.,None of the Above
I’m working very near my house,None of the Above
I did not travel for many years,None of the Above
he likes it here more,None of the Above
I work for the courier service in the daytime,None of the Above
how is your mother feeling?,None of the Above
only his shoes are visible,None of the Above
"Sorry I can’t come, everything is busy in our life.",None of the Above
and that roommate will do an interview,None of the Above
Some teachers when I was in school I liked very much.,None of the Above
So my parents are from Gujarat.,None of the Above
some information is available free,None of the Above
"I was very scared to, wasn’t I?",None of the Above
My daughter is attending the University of Delhi.,None of the Above
Whereas we had lot of time and we didn’t have any TV and all that stuff and we used to play outdoor games.,None of the Above
they get H1B visas to come to the country,None of the Above
She has business experience.,None of the Above
Chandigarh was full of employed people.,None of the Above
we have two tailors who can make clothes for us,None of the Above
my bother said that one of his favorite places is the beach nearby,None of the Above
those who come here should definitely learn English,None of the Above
"We are like we are in touch, but not before when we was in school.",None of the Above
a recipe is a simple thing,None of the Above
So at that time they said okay go and work for a few months.,None of the Above
I did one refresher course in the month of June.,None of the Above
"first of all, we can see a plate the right side",None of the Above
why are you driving like a lorry?,None of the Above
the person I like the most is from the mechanical department,None of the Above
I like the cake very much.,None of the Above
I don’t know now what they are doing,None of the Above
I stayed one or two days at the Tirupati temple,None of the Above
my father works for a mining company,None of the Above
"yeah, so I go very often to my parent’s house",None of the Above
some people are very nice,None of the Above
she doesn’t like it,None of the Above
So marketing keeps its communication with the different embassies.,None of the Above
he was wondering why the police stopped him,None of the Above
in fifteen years we have seen a lot of changes,None of the Above
why are you telling this to everybody?,None of the Above
"The book that I left here, where is it?",None of the Above
he does a lot of things,None of the Above
every year there is inflation,None of the Above
as recently as April there was a big fight,None of the Above
nowadays all the children are mature from a very early age,None of the Above
tomorrow you have to try this cake,None of the Above
the store is around the corner by the post office,None of the Above
you cannot ask them why they are not coming for clinic visits,None of the Above
everyone gets that vaccination in childhood,None of the Above
"he liked it, didn’t he, even though you said he wouldn’t",None of the Above
Because educated people get good money.,None of the Above
there is some flower part,None of the Above
I think she is a teacher.,None of the Above
He is doing Engineering in Delhi.,None of the Above
this is menial work,None of the Above
we can only see the blue sky,None of the Above
in our old age we can go and enjoy it,None of the Above
I think Nina must know her sister,None of the Above
My old life I want to spend in India.,None of the Above
they tease the new children when they join,None of the Above
we want to know how we can make your favorite dish,None of the Above
he didn’t give it to me,None of the Above
They have pressure from their in-laws.,None of the Above
all the music is very good,None of the Above
"the children are playing outside, aren’t they?",None of the Above
they speak Portuguese in Brazil,None of the Above
I love to go shopping with your mother,None of the Above
and all the company people are my clients,None of the Above
She was brought up there and her college was there too,None of the Above
We don’t feel that we should go to any other country.,None of the Above
you can say anything but on the tenth I’m leaving,None of the Above
we will know how much the structure is getting deflected,None of the Above
for two years I stayed alone,None of the Above
open a shop wherever there is foot traffic,None of the Above
we have two tailors who can make them for us,None of the Above
"A person living in Calcutta, who didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",None of the Above
at the Tirupati temple I stayed one or two days,None of the Above
he has a television,None of the Above
"first of all, on the right side we can see a plate",None of the Above
the dog is facing towards the camera,None of the Above
what are you doing?,None of the Above
where will you get anything?,None of the Above
"actually, I have not been to this part",None of the Above
