270,280,300,320,340,360,380,400,450,500,550,600,650,700,800,900,1060,1260,1670,2170,3500,4000
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1.27, 1.02, 8.58e-1, 7.18e-1, 6.39e-1, 6.11e-1, 5.83e-1, 5.84e-1, 5.83e-1,6.83e-1, 8.18e-1, 1.04, 1.37, 1.83, 2.06, 2.13, 2.20, 2.36, 2.59, 3.01, 3.46, 3.88, 4.15, 4.17, 4.06, 3.79, 3.43, 2.97, 2.59, 2.25, 1.90, 1.67, 1.43, 1.22, 1.02, 9.07e-1, 7.59e-1, 6.35e-1, 5.32e-1, 4.57e-1, 3.91e-1, 3.20e-1, 2.50e-1, 1.96e-1, 1.57e-1, 1.21e-1, 9.40e-2, 7.44e-2, 5.88e-2, 4.70e-2, 3.93e-2
8.42e-1, 6.41e-1, 5.22e-1, 4.31e-1, 3.81e-1, 3.60e-1, 3.40e-1, 3.36e-1, 3.31e-1, 3.78e-1, 4.42e-1, 5.51e-1, 7.13e-1, 9.43e-1, 1.06, 1.09, 1.12, 1.20, 1.32, 1.53, 1.76, 1.96, 2.10, 2.11, 2.05, 1.92, 1.73, 1.50, 1.31, 1.14, 9.60e-1, 8.43e-1, 7.25e-1, 6.19e-1, 5.16e-1, 4.58e-1, 3.84e-1, 3.21e-1, 2.69e-1, 2.31e-1, 1.98e-1, 1.62e-1, 1.27e-1, 9.90e-2, 7.92e-2, 6.14e-2, 4.76e-2, 3.77e-2, 2.58e-2, 2.38e-2, 1.99e-2
4.41e-1, 2.79e-1, 1.98e-1, 1.53e-1, 1.31e-1, 1.18e-1, 1.06e-1, 9.76e-2, 9.07e-2, 8.89e-2, 8.94e-2, 9.44e-2, 1.05e-1, 1.22e-1, 1.28e-1, 1.28e-1, 1.28e-1, 1.33e-1, 1.42e-1, 1.59e-1, 1.79e-1, 1.97e-1, 2.08e-1, 2.07e-1, 2.01e-1, 1.87e-1, 1.69e-1, 1.46e-1, 1.28e-1, 1.11e-1, 9.36e-2, 8.21e-2, 7.06e-2, 6.02e-2, 5.02e-2, 4.46e-2, 3.74e-2, 3.13e-2, 2.62e-2, 2.25e-2, 1.93e-2, 1.58e-2, 1.24e-2, 9.71e-3, 7.79e-3, 6.05e-3, 4.71e-3, 3.74e-3, 2.98e-3, 2.39e-3, 2.00e-3
3.63e-1, 2.13e-1, 1.40e-1, 1.04e-1, 8.60e-2, 7.59e-2, 6.67e-2, 6.01e-2, 5.45e-2, 4.95e-2, 4.52e-2, 4.15e-2, 3.85e-2, 3.60e-2, 3.35e-2, 3.06e-2, 2.82e-2, 2.67e-2, 2.57e-2, 2.53e-2, 2.51e-2, 2.50e-2, 2.48e-2, 2.37e-2, 2.23e-2, 2.04e-2, 1.83e-2, 1.57e-2, 1.38e-2, 1.18e-2, 9.96e-3, 8.69e-3, 7.45e-3, 6.35e-3, 5.31e-3, 4.68e-3, 3.93e-3, 3.30e-3, 2.78e-3, 2.38e-3, 2.04e-3, 1.69e-3, 1.35e-3, 1.07e-3, 8.75e-4, 6.97e-4, 5.57e-4, 4.53e-4, 3.70e-4, 3.06e-4, 2.60e-4
3.25e-1, 1.83e-1, 1.16e-1, 8.23e-2, 6.71e-2, 5.88e-2, 5.13e-2, 4.60e-2, 4.17e-2, 3.75e-2, 3.37e-2, 3.01e-2, 2.68e-2, 2.34e-2, 2.07e-2, 1.82e-2, 1.60e-2, 1.44e-2, 1.29e-2, 1.12e-2, 9.48e-3, 8.07e-3, 6.97e-3, 6.03e-3, 5.24e-3, 4.56e-3, 3.97e-3, 3.35e-3, 2.85e-3, 2.42e-3, 2.04e-3, 1.75e-3, 1.49e-3, 1.26e-3, 1.06e-3, 9.13e-4, 7.72e-4, 6.55e-4, 5.56e-4, 4.77e-4, 4.09e-4, 3.47e-4, 2.91e-4, 2.46e-4, 2.09e-4, 1.77e-4, 1.50e-4, 1.28e-4, 1.11e-4, 9.61e-5, 8.40e-5
3.07e-1, 1.66e-1, 1.00e-1, 6.87e-2, 5.48e-2, 4.78e-2, 4.14e-2, 3.72e-2, 3.38e-2, 3.04e-2, 2.74e-2, 2.44e-2, 2.18e-2, 1.89e-2, 1.67e-2, 1.47e-2, 1.29e-2, 1.16e-2, 1.03e-2, 8.78e-3, 7.14e-3, 5.80e-3, 4.79e-3, 3.98e-3, 3.34e-3, 2.85e-3, 2.45e-3, 2.04e-3, 1.71e-3, 1.44e-3, 1.21e-3, 1.02e-3, 8.62e-4, 7.26e-4, 6.13e-4, 5.19e-4, 4.40e-4, 3.75e-4, 3.20e-4, 2.73e-4, 2.34e-4, 2.01e-4, 1.73e-4, 1.49e-4, 1.29e-4, 1.12e-4, 9.69e-5, 8.43e-5, 7.38e-5, 6.50e-5, 5.72e-5
2.83e-1, 1.50e-1, 8.74e-2, 5.79e-2, 4.53e-2, 3.93e-2, 3.39e-2, 3.04e-2, 2.78e-2, 2.50e-2, 2.26e-2, 2.02e-2, 1.81e-2, 1.58e-2, 1.40e-2, 1.23e-2, 1.09e-2, 9.81e-3, 8.80e-3, 7.48e-3, 6.04e-3, 4.86e-3, 3.99e-3, 3.30e-3, 2.76e-3, 2.35e-3, 2.02e-3, 1.68e-3, 1.40e-3, 1.17e-3, 9.83e-4, 8.26e-4, 6.96e-4, 5.85e-4, 4.92e-4, 4.16e-4, 3.52e-4, 2.99e-4, 2.55e-4, 2.18e-4, 1.86e-4, 1.60e-4, 1.38e-4, 1.19e-4, 1.03e-4, 8.88e-5, 7.71e-5, 6.70e-5, 5.88e-5, 5.17e-5, 4.55e-5
2.43e-1, 1.27e-1, 7.33e-2, 4.79e-2, 3.72e-2, 3.22e-2, 2.77e-2, 2.49e-2, 2.28e-2, 2.05e-2, 1.85e-2, 1.66e-2, 1.49e-2, 1.30e-2, 1.16e-2, 1.02e-2, 9.04e-3, 8.15e-3, 7.32e-3, 6.22e-3, 5.01e-3, 4.03e-3, 3.30e-3, 2.72e-3, 2.27e-3, 1.93e-3, 1.66e-3, 1.38e-3, 1.15e-3, 9.61e-4, 8.05e-4, 6.76e-4, 5.69e-4, 4.77e-4, 4.02e-4, 3.39e-4, 2.87e-4, 2.43e-4, 2.07e-4, 1.77e-4, 1.51e-4, 1.30e-4, 1.12e-4, 9.62e-5, 8.31e-5, 7.20e-5, 6.24e-5, 5.43e-5, 4.76e-5, 4.18e-5, 3.68e-5
2.06e-1, 1.03e-1, 5.59e-2, 3.40e-2, 2.53e-2, 2.16e-2, 1.83e-2, 1.65e-2, 1.52e-2, 1.38e-2, 1.25e-2, 1.13e-2, 1.03e-2, 9.07e-3, 8.16e-3, 7.26e-3, 6.50e-3, 5.95e-3, 5.41e-3, 4.61e-3, 3.67e-3, 2.93e-3, 2.39e-3, 1.97e-3, 1.64e-3, 1.40e-3, 1.21e-3, 9.97e-4, 8.26e-4, 6.87e-4, 5.71e-4, 4.77e-4, 4.00e-4, 3.34e-4, 2.79e-4, 2.35e-4, 1.98e-4, 1.67e-4, 1.42e-4, 1.20e-4, 1.03e-4, 8.75e-5, 7.46e-5, 6.38e-5, 5.48e-5, 4.71e-5, 4.06e-5, 3.51e-5, 3.06e-5, 2.68e-5, 2.35e-5
1.84e-1, 8.91e-2, 4.59e-2, 2.61e-2, 1.86e-2, 1.57e-2, 1.31e-2, 1.18e-2, 1.10e-2, 1.01e-2, 9.26e-3, 8.41e-3, 7.83e-3, 7.07e-3, 6.50e-3, 5.87e-3, 5.35e-3, 5.01e-3, 4.67e-3, 4.09e-3, 3.39e-3, 2.84e-3, 2.44e-3, 2.11e-3, 1.84e-3, 1.62e-3, 1.42e-3, 1.19e-3, 1.00e-3, 8.42e-4, 7.01e-4, 5.96e-4, 5.02e-4, 4.22e-4, 3.51e-4, 3.02e-4, 2.53e-4, 2.12e-4, 1.78e-4, 1.52e-4, 1.29e-4, 1.08e-4, 8.84e-5, 7.26e-5, 6.05e-5, 4.98e-5, 4.12e-5, 3.46e-5, 2.92e-5, 2.48e-5, 2.14e-5
