word,word_type,index,example_1,example_2,semantic_consistency
circulate,V,0-4,Circulate a rumor .,This letter is being circulated among the faculty .,F
piggyback,V,3-1,An amendment to piggyback the current law .,He piggybacked her child so she could see the show .,F
pick,V,1-3,To pick rags .,Do n't always pick on your little brother .,F
belabor,V,0-2,Belabor the obvious .,She was belabored by her fellow students .,F
kill,V,0-1,Kill the engine .,He killed the ball .,F
distribute,V,4-2,The publisher wants to distribute the book in Asia .,The function distributes the values evenly .,F
wait,V,3-0,She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .,F
wash,V,5-2,This silly excuse wo n't wash in traffic court .,The cat washes several times a day .,F
seem,V,1-1,I seem to be misunderstood by everyone .,There seems no reason to go ahead with the project now .,F
ruin,V,3-3,This behavior will ruin your chances of winning the election .,The country lay ruined after the war .,F
develop,V,2-2,Children must develop a sense of right and wrong .,We have developed a new theory of evolution .,F
strike,V,0-2,Strike an arc .,The clock struck midnight .,F
whitewash,V,3-10,Let 's not whitewash the crimes of Stalin .,"In his sermon , the minister did n't try to whitewash over the sins of his church .",F
reflect,V,13-4,"People do that sort of thing every day , without ever stopping to reflect on the consequences .",The teacher 's ability reflects well on the school .,F
absorb,V,0-1,Absorb the costs for something .,He absorbed the knowledge or beliefs of his tribe .,F
militarize,V,0-0,Militarize the Civil Service .,Militarize Germany again after the war .,F
submerge,V,0-2,Submerge your head completely .,The submarine submerged in the water .,F
calibrate,V,0-1,Calibrate a gun .,He calibrated the thermometer for the Celsius scale .,F
remove,V,0-2,Remove a wrapper .,The President removed many postmasters .,F
crash,V,2-2,"You can crash here , though it 's not very comfortable .",The terrorists crashed the plane into the palace .,F
cloister,V,0-1,Cloister the garden .,She cloistered herself in the office .,F
burn,V,0-3,Burn a CD .,My eyes are burning .,F
map,V,0-0,Map the genes .,Map the surface of Venus .,F
mandate,V,0-7,Mandate a colony .,The new director of the school board mandated regular tests .,F
avail,V,2-1,It will avail them to dispose of their booty .,He availed himself of the available resources .,F
drag,V,3-2,Time seems to drag when you 're waiting for a bus .,The speech dragged on for two hours .,F
chisel,V,0-2,Chisel the marble .,Who 's chiseling on the side ?,F
scallop,V,0-0,Scallop the hem of the dress .,Scallop the meat .,F
watch,V,9-3,Put a little baking soda in some vinegar and watch what happens .,The world is watching Sarajevo .,F
touch,V,3-7,He could not touch the meaning of the poem .,Helen Keller felt the physical world by touching people and objects around her .,F
excite,V,0-6,Excite the neurons .,The fireworks which opened the festivities excited anyone present .,F
solemnize,V,4-2,"The couple chose to solemnize their relationship in a secular ceremony , instead of having a wedding .",The King solemnized this day of morning .,F
plan,V,0-1,Plan an attack .,He plans to be in graduate school next year .,F
hit,V,0-3,Hit the bottle .,He tries to hit on women in bars .,F
criticize,V,2-2,"Those who criticize others often are not perfect , either .",The paper criticized the new movie .,F
block,V,0-3,Block the signals emitted by this station .,The thick curtain blocked the action on the stage .,F
point,V,0-4,Point a gun .,It 's rude to point at other people .,F
bracket,V,1-0,Please bracket this remark .,Bracket bookshelves .,F
reline,V,0-6,Reline the paper .,The old fur coat must be relined .,F
fiddle,V,2-2,Do n't fiddle with the screws .,She always fiddles with her van on the weekend .,F
harass,V,0-2,Harass the enemy .,This man harasses his female co - workers .,F
incorporate,V,0-3,Incorporate this document with those pertaining to the same case .,The company was incorporated in 1980 .,F
wrangle,V,0-11,Wrangle horses .,"The bar keeper threw them out , but they continued to wrangle on down the street .",F
shake,V,0-2,Shake the salt out of the salt shaker .,His hands shook .,F
process,V,0-1,Process iron .,They processed into the dining room .,F
seize,V,4-2,Birds of prey often seize small mammals .,The invaders seized the land and property of the inhabitants .,F
follow,V,2-1,We must follow closely the economic development is Cuba .,It follows that your assertion is false .,F
