example_1,example_2
Circulate a rumor .,This letter is being circulated among the faculty .
An amendment to piggyback the current law .,He piggybacked her child so she could see the show .
To pick rags .,Do n't always pick on your little brother .
Belabor the obvious .,She was belabored by her fellow students .
Kill the engine .,He killed the ball .
The publisher wants to distribute the book in Asia .,The function distributes the values evenly .
She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .
This silly excuse wo n't wash in traffic court .,The cat washes several times a day .
I seem to be misunderstood by everyone .,There seems no reason to go ahead with the project now .
This behavior will ruin your chances of winning the election .,The country lay ruined after the war .
Children must develop a sense of right and wrong .,We have developed a new theory of evolution .
Strike an arc .,The clock struck midnight .
Let 's not whitewash the crimes of Stalin .,"In his sermon , the minister did n't try to whitewash over the sins of his church ."
"People do that sort of thing every day , without ever stopping to reflect on the consequences .",The teacher 's ability reflects well on the school .
Absorb the costs for something .,He absorbed the knowledge or beliefs of his tribe .
Militarize the Civil Service .,Militarize Germany again after the war .
Submerge your head completely .,The submarine submerged in the water .
Calibrate a gun .,He calibrated the thermometer for the Celsius scale .
Remove a wrapper .,The President removed many postmasters .
"You can crash here , though it 's not very comfortable .",The terrorists crashed the plane into the palace .
Cloister the garden .,She cloistered herself in the office .
Burn a CD .,My eyes are burning .
Map the genes .,Map the surface of Venus .
Mandate a colony .,The new director of the school board mandated regular tests .
It will avail them to dispose of their booty .,He availed himself of the available resources .
Time seems to drag when you 're waiting for a bus .,The speech dragged on for two hours .
Chisel the marble .,Who 's chiseling on the side ?
Scallop the hem of the dress .,Scallop the meat .
Put a little baking soda in some vinegar and watch what happens .,The world is watching Sarajevo .
He could not touch the meaning of the poem .,Helen Keller felt the physical world by touching people and objects around her .
Excite the neurons .,The fireworks which opened the festivities excited anyone present .
"The couple chose to solemnize their relationship in a secular ceremony , instead of having a wedding .",The King solemnized this day of morning .
Plan an attack .,He plans to be in graduate school next year .
Hit the bottle .,He tries to hit on women in bars .
"Those who criticize others often are not perfect , either .",The paper criticized the new movie .
Block the signals emitted by this station .,The thick curtain blocked the action on the stage .
Point a gun .,It 's rude to point at other people .
Please bracket this remark .,Bracket bookshelves .
Reline the paper .,The old fur coat must be relined .
Do n't fiddle with the screws .,She always fiddles with her van on the weekend .
Harass the enemy .,This man harasses his female co - workers .
Incorporate this document with those pertaining to the same case .,The company was incorporated in 1980 .
Wrangle horses .,"The bar keeper threw them out , but they continued to wrangle on down the street ."
Shake the salt out of the salt shaker .,His hands shook .
Process iron .,They processed into the dining room .
Birds of prey often seize small mammals .,The invaders seized the land and property of the inhabitants .
We must follow closely the economic development is Cuba .,It follows that your assertion is false .
Misdirect the letter .,The pedestrian misdirected the out - of - town driver .
Ease the pain in your legs .,The pain eased overnight .
These paintings exalt the imagination .,The man was exalted from a humble carpenter to a minister .
Do n't strain your mind too much .,The rope strained when the weight was attached .
This shall not relieve either Party of any obligations .,The thief relieved me of $ 100 .
Will the new rules affect me ?,The medicine affects my heart rate .
Particle detectors sense ionization .,She immediately sensed her disdain .
Utter counterfeit currency .,He uttered strange sounds that nobody could understand .
Prepare for war .,We prepared a fish for dinner .
Rise to the occasion .,Her spirits rose when she heard the good news .
Hook the ball .,His opponent hooked him badly .
Choke a carburetor .,This neckband is choking the cat .
Engrave a letter .,Engrave a pen .
She wanted to aim a pun .,He aimed his fists towards his opponent 's face .
