memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
imagined,1,0,"Four months ago, I had a big family reunion.",0.875,0.75,1.0
imagined,1,1,We haven't had one in over 20 years.,0.25,0.125,0.25
imagined,1,2,This was a very exciting event.,0.5,0.25,0.5
imagined,1,8,There were plenty of steaks to go around the whole family.,0.375,0.0,0.375
recalled,2,0,We had a family reunion about 4 months ago that was a really great time.,0.875,0.5,1.0
recalled,2,1,I got to see my distant family that I hadn't seen in decades since I was a kid and close ones that I rarely see.,0.375,0.125,0.375
recalled,2,3,He also lives on the opposite coast so it is just hard to meet up.,0.25,0.125,0.375
recalled,2,4,He was looking in pretty good health about the same as when he left so that was good to see considering all the time that has passed.,0.375,0.25,0.5
recalled,2,14,I hope everyone gets to meet up with their family at some point because in the end it's all that you have and you don't want to waste that.,0.125,0.0,0.125
retold,3,0,It was our first ever family reunion and it was really cool.,0.875,0.375,0.875
retold,3,1,We weren't able to really do this before besides random holiday meet ups sporadically so it really was a nice change of pace.,0.25,0.125,0.25
retold,3,11,I guess personally I am at fault for the divide when it comes to this family.,0.25,0.125,0.25
imagined,3,0,Absolutely not.,0.125,0.0,0.125
imagined,3,1,"I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.",0.75,0.25,0.875
imagined,3,4,it was an nice experience i had ever.,0.375,0.0,0.375
imagined,3,6,they both are made for each other.,0.25,0.125,0.375
imagined,3,10,we are childhood friends.,0.375,0.0,0.375
recalled,1,0,"I had been sick,throwing up for the past few days and very tired.",0.875,0.25,1.0
recalled,1,1,I haden't a clue what the problem could be.,0.375,0.0,0.375
recalled,1,3,After much thought I went ahead and purchased a pregnancy test and took it.,0.625,0.25,0.875
recalled,1,4,Anxiously waiting for the results  my whole world was rocked.,0.75,0.25,0.875
recalled,1,6,"I was completely confused,terrified,shocked,amazed &a thousand other things.",0.375,0.125,0.375
recalled,1,7,But this time would be much different.,0.375,0.25,0.5
recalled,1,8,I would be all alone.,0.5,0.0,0.5
recalled,1,9,My mother was gone.,0.625,0.125,0.625
recalled,1,10,"Due to stage 4 cancer, I'd lost her just 6 months prior.",0.625,0.0,0.625
recalled,1,12,Was this her way of giving me the light at the end of the tunnel so to speak.,0.375,0.0,0.375
recalled,1,14,Would I be strong enough to do this without her?,0.25,0.125,0.375
retold,2,0,So after i found out that i would ne welcoming another little one into my life i wasn't sure how to feel.,0.75,0.25,0.75
retold,2,4,What makes thing scary is doing it alone.,0.5,0.25,0.75
retold,2,5,My main support system was gone.,0.25,0.125,0.375
retold,2,6,The grandmother to my children was no more.,0.5,0.0,0.5
retold,2,8,The one i needed when no one else was there .,0.25,0.125,0.375
retold,2,9,was gone.,0.25,0.125,0.25
retold,2,14,It doesn't make 9t easier though.,0.25,0.125,0.25
imagined,2,0,I really loved being able to get together and learn more about art.,0.375,0.25,0.375
imagined,2,1,I always love to observe art on the streets or in museums but 3 weeks ago I got to have a very cool art experience.,0.5,0.25,0.625
imagined,2,2,Many neighbors came together to paint a mural in the middle of the intersection.,0.75,0.125,0.75
imagined,2,3,It was my first time to pain on a street and the first time to paint a ten foot manatee.,0.375,0.25,0.5
imagined,2,4,We chose the manatee because it is the elementary school's mascot.,0.375,0.25,0.375
imagined,2,8,I am no master artist or anything but I think this experience has given me a huge burst of inspiration.,0.25,0.125,0.25
imagined,2,9,I do not think I will start creating graffiti or anything but I might start using different tools.,0.25,0.125,0.25
imagined,2,10,My choice paint is watercolor because of how delicate it is and soft and beautiful the strokes come out.,0.25,0.125,0.375
imagined,2,12,What I love about painting the street is that it is easy to just make corrections immediately without having to wait much.,0.25,0.125,0.375
imagined,2,14,I think I may try using acrylics next time I am in front of the canvas.,0.375,0.0,0.375
recalled,1,0,It was a hot day in July that our community decided to paint a mural on an intersection for public art.,0.75,0.625,1.0
recalled,1,1,I had decided to volunteer to help paint.,0.5,0.25,0.75
recalled,1,6,"As I ate my donut, I noticed a couple chickens crossing the road.",0.75,0.25,0.875
recalled,1,7,I was told that they lived on the block.,0.25,0.125,0.375
